TaskID,TargetArea,Load,StartType,EndType,PairTaskID,DayType,Role,FemaleAllowed
C_54_W,Akaike,3,Normal,Normal,53,Weekday,C,N
C_57_W,Joshin,3,Early,Early,,Weekday,C,Y
C_58_W,Joshin,3,Late,Normal,,Weekday,C,Y
C_59_W,Joshin,3,Normal,Late,,Weekday,C,Y
C_60_W,Joshin,3,Late,Normal,,Weekday,C,N
C_61_W,Joshin,3,Normal,Normal,60,Weekday,C,N
C_66_W,Joshin,3,Early,Early,,Weekday,C,Y
C_67_W,Joshin,3,Normal,Normal,66,Weekday,C,Y
C_68_W,Joshin,3,Normal,Early,,Weekday,C,Y
C_73_W,Joshin,3,Late,Late,,Weekday,C,Y
C_74_W,Joshin,3,Late,Normal,73,Weekday,C,Y
C_75_W,Joshin,3,Normal,Late,,Weekday,C,Y
C_1_H,Akaike,3,Early,Early,,Holiday,C,Y
C_2_H,Akaike,3,Normal,Early,,Holiday,C,Y
C_4_H,Akaike,3,Early,Normal,,Holiday,C,Y
C_5_H,Akaike,3,Normal,Normal,4,Holiday,C,Y
C_10_H,Akaike,3,Normal,Normal,,Holiday,C,Y
C_11_H,Akaike,3,Normal,Early,,Holiday,C,Y
C_12_H,Akaike,3,Normal,Normal,11,Holiday,C,Y
C_15_H,Akaike,3,Normal,Normal,,Holiday,C,Y
C_16_H,Akaike,3,Normal,Normal,15,Holiday,C,Y
C_17_H,Akaike,3,Late,Early,,Holiday,C,Y
C_18_H,Akaike,3,Normal,Normal,,Holiday,C,Y
C_19_H,Akaike,3,Normal,Normal,18,Holiday,C,Y
C_24_H,Akaike,3,Late,Late,,Holiday,C,Y
C_25_H,Akaike,3,Late,Normal,,Holiday,C,Y
C_26_H,Akaike,3,Normal,Late,25,Holiday,C,Y
C_31_H,Akaike,3,Normal,Late,,Holiday,C,Y
C_32_H,Akaike,3,Late,Normal,,Holiday,C,Y
C_33_H,Akaike,3,Normal,Late,32,Holiday,C,Y
C_38_H,Akaike,3,Late,Late,,Holiday,C,Y
C_39_H,Akaike,3,Late,Normal,,Holiday,C,N
C_40_H,Akaike,3,Normal,Early,39,Holiday,C,N
C_45_H,Akaike,3,Early,Early,,Holiday,C,Y
C_46_H,Akaike,3,Normal,Normal,,Holiday,C,N
C_47_H,Akaike,3,Normal,Early,46,Holiday,C,N
C_52_H,Akaike,3,Late,Late,,Holiday,C,Y
C_53_H,Akaike,3,Late,Normal,,Holiday,C,N
C_54_H,Akaike,3,Normal,Normal,53,Holiday,C,N
C_58_H,Joshin,3,Late,Early,,Holiday,C,Y
C_59_H,Joshin,3,Normal,Late,,Holiday,C,Y
C_60_H,Joshin,3,Late,Normal,,Holiday,C,N
C_61_H,Joshin,3,Normal,Normal,60,Holiday,C,N
C_66_H,Joshin,3,Early,Early,,Holiday,C,Y
C_67_H,Joshin,3,Normal,Normal,,Holiday,C,Y
C_68_H,Joshin,3,Normal,Early,67,Holiday,C,Y
C_73_H,Joshin,3,Late,Late,,Holiday,C,Y
C_74_H,Joshin,3,Late,Normal,,Holiday,C,Y
C_75_H,Joshin,3,Normal,Late,74,Holiday,C,Y
A1,Akaike,3,Early,Early,,All,C,Y
A2,Akaike,3,Early,Early,,All,C,Y
A3,Akaike,3,Late,Late,,All,C,Y
A4,Akaike,3,Normal,Normal,,All,C,Y
A5,Akaike,3,Normal,Normal,A4,All,C,Y
A6,Akaike,3,Normal,Normal,,All,C,Y
A7,Akaike,3,Normal,Normal,A6,All,C,Y
J1,Joshin,3,Early,Early,,All,C,N
J2,Joshin,3,Late,Late,,All,C,N
J3,Joshin,3,Normal,Normal,,All,C,N
J4,Joshin,3,Normal,Normal,J4,All,C,N
J5,Joshin,3,Normal,Normal,,All,C,N
J6,Joshin,3,Normal,Normal,J5,All,C,N
R1,Marunouchi,3,Early,Early,,All,C,Y
R2,Marunouchi,3,Early,Late,,All,C,Y
R3,Marunouchi,3,Normal,Normal,,All,C,Y
R4,Marunouchi,3,Normal,Normal,R3,All,C,Y
R5,Marunouchi,3,Normal,Normal,,All,C,Y
R6,Marunouchi,3,Normal,Normal,R5,All,C,Y
S1,Syonairyokuchi,3,Early,Early,,All,C,N
S2,Syonairyokuchi,3,Normal,Normal,,All,C,N
S3,Syonairyokuchi,3,Normal,Normal,S2,All,C,N
OFF,Akaike,0,Normal,Normal,,All,All,Y
